Record_ID,Year,District,Crop,Season,Soil_Type,Irrigation_Type,Land_Area_Acres,Rainfall_mm,Temperature_C,Humidity_pct,Soil_pH,Seed_Cost_INR,Fertilizer_Cost_INR,Pesticide_Cost_INR,Labour_Cost_INR,Irrigation_Cost_INR,Other_Cost_INR,Expected_Yield_kg,Market_Price_INR_per_kg,Total_Cost_INR,Expected_Revenue_INR,Profit_INR
49,2021,Aurangabad,Cotton,Kharif,Loamy,Borewell,0.71,876.0,27.2,64.0,6.97,3028.1,3926.89,3117.51,7067.56,3276.41,1997.62,573.8,77.33,22414.08,44370.46,21956.38
50,2021,Satara,Maize,Kharif,Red,Rainfed,1.8,936.1,26.2,46.8,7.62,4588.19,9114.99,3234.28,12547.23,5131.12,2991.2,4608.77,17.84,37607.01,82214.28,44607.27
51,2019,Solapur,Wheat,Rabi,Black,Borewell,8.98,394.7,26.5,51.9,6.61,21500.04,49325.49,19507.53,63415.32,18371.09,14848.65,22457.83,27.64,186968.1,620726.14,433758.04
52,2023,Pune,Maize,Kharif,Black,Drip,11.55,690.4,22.8,85.2,6.74,32662.25,69089.89,25596.04,78021.15,33885.15,23108.59,37379.88,20.96,262363.07,783368.22,521005.14
53,2024,Nashik,Rice,Kharif,Red,Borewell,7.0,842.7,18.7,43.3,5.96,26039.41,54243.66,23520.54,63541.38,33960.78,20122.5,17855.68,27.81,221428.27,496489.42,275061.15
54,2023,Satara,Rice,Kharif,Black,Rainfed,5.2,1032.9,26.5,68.5,6.02,18948.5,34788.64,18160.79,45135.22,22617.63,14266.99,13757.65,34.69,153917.78,477312.69,323394.91
55,2021,Solapur,Tomato,Rabi,Red,Canal,10.05,741.1,25.0,56.1,6.14,50880.38,68016.99,36860.84,115022.06,44265.29,30205.07,90218.22,20.69,345250.63,1866919.78,1521669.15
56,2022,Kolhapur,Soybean,Kharif,Red,Canal,5.21,1221.0,28.4,63.9,6.64,16953.9,21231.98,10939.99,25659.77,10173.57,8612.01,4888.71,45.66,93571.21,223215.81,129644.61
57,2025,Solapur,Sugarcane,Annual,Black,Rainfed,3.59,797.1,28.3,56.4,6.45,28438.65,34333.32,15233.88,63489.85,31336.74,15358.63,119255.23,3.68,188191.08,438340.05,250148.96
58,2019,Nashik,Sugarcane,Annual,Red,Canal,0.63,718.2,26.0,77.0,7.31,3606.12,5120.79,2020.21,7873.08,3857.25,2237.95,19547.47,2.67,24715.39,52178.62,27463.24
59,2019,Solapur,Maize,Kharif,Red,Canal,3.32,392.4,25.4,74.1,6.17,7129.65,19018.49,6154.31,20071.9,8755.64,5918.33,9415.84,16.33,67048.32,153770.14,86721.82
60,2022,Ahmednagar,Cotton,Kharif,Alluvial,Rainfed,1.09,891.6,24.8,72.3,6.28,5748.1,6623.98,4957.86,11764.78,4962.22,3379.33,810.59,81.1,37436.27,65741.3,28305.03
61,2020,Nashik,Cotton,Kharif,Alluvial,Rainfed,3.63,496.1,26.3,50.1,6.56,16046.4,22457.19,13933.83,37653.22,17285.93,9504.7,2318.3,74.03,116881.26,171619.47,54738.21
62,2021,Ahmednagar,Rice,Kharif,Alluvial,Drip,6.13,657.3,25.4,64.4,5.93,21311.73,41311.84,19728.76,50226.28,25450.9,15803.14,17940.32,29.11,173832.65,522187.59,348354.93
63,2024,Satara,Onion,Rabi,Alluvial,Borewell,0.93,775.4,25.0,52.6,7.47,5742.38,7618.98,3179.15,9179.62,5554.61,3045.85,6951.99,26.13,34320.6,181636.2,147315.59
64,2019,Pune,Cotton,Kharif,Loamy,Canal,7.58,729.1,27.1,57.3,7.55,31142.92,41124.25,29614.66,76840.67,30504.34,19045.52,6325.08,64.16,228272.36,405819.01,177546.65
65,2021,Pune,Wheat,Rabi,Red,Canal,4.58,609.3,22.9,44.6,5.98,13511.34,25658.29,10257.46,38445.21,11344.93,9824.96,9685.11,33.05,109042.2,320125.1,211082.91
66,2023,Aurangabad,Maize,Kharif,Loamy,Rainfed,6.4,609.8,24.9,56.4,6.37,19417.84,41514.68,13693.64,42294.74,20375.71,12271.23,16470.61,24.41,149567.83,401972.43,252404.6
67,2024,Nashik,Rice,Kharif,Red,Rainfed,3.07,949.3,25.9,54.4,6.8,11677.44,24203.73,11442.94,26286.39,14410.59,7116.3,8092.01,28.11,95137.39,227449.68,132312.29
68,2022,Ahmednagar,Onion,Rabi,Red,Rainfed,3.49,606.4,28.6,57.3,6.83,21217.97,30301.82,12516.64,32351.43,19314.16,10443.09,21779.36,29.76,126145.12,648191.29,522046.17
69,2025,Solapur,Cotton,Kharif,Black,Canal,3.57,586.4,27.6,70.4,6.95,19859.31,26282.78,16957.17,44097.32,21375.74,11175.92,2720.96,82.24,139748.24,223759.0,84010.77
70,2024,Satara,Soybean,Kharif,Black,Canal,10.63,911.6,24.3,72.9,6.21,35600.41,46972.63,24401.06,56849.55,22219.21,17407.7,13329.88,52.99,203450.56,706293.59,502843.04
71,2020,Ahmednagar,Tomato,Rabi,Red,Drip,7.79,774.5,25.4,64.4,6.46,34288.68,60040.43,25926.43,78421.3,39510.98,20849.86,84324.99,23.4,259037.67,1973256.81,1714219.14
72,2020,Pune,Tomato,Rabi,Alluvial,Borewell,8.64,734.6,23.6,72.8,5.79,38779.21,68124.01,32332.71,81963.88,48821.57,20755.52,85179.71,17.64,290776.9,1502538.93,1211762.02
73,2020,Kolhapur,Soybean,Kharif,Black,Borewell,2.38,1521.3,27.0,72.1,7.49,6484.64,8881.74,4442.27,9644.53,4789.6,3998.63,2991.2,42.53,38241.42,127205.41,88963.99
74,2020,Aurangabad,Wheat,Rabi,Red,Borewell,3.14,542.3,28.9,61.3,7.37,8765.18,17743.29,7477.42,22425.11,8712.5,5999.2,7226.49,29.05,71122.69,209942.21,138819.51
75,2025,Kolhapur,Onion,Rabi,Red,Drip,9.66,1336.6,24.9,65.4,6.25,60177.61,75607.95,40438.78,91003.6,57700.93,29113.41,63794.66,29.14,354042.29,1858960.58,1504918.29
76,2022,Satara,Wheat,Rabi,Alluvial,Canal,5.74,880.2,19.2,47.7,7.16,17371.14,31584.37,14278.07,42334.65,14186.81,13137.23,14691.87,31.19,132892.26,458292.45,325400.19
77,2021,Kolhapur,Rice,Kharif,Loamy,Canal,6.94,1353.6,25.1,59.6,6.65,21697.26,47542.06,19380.28,61222.8,30178.87,15985.14,19257.99,29.4,196006.4,566091.33,370084.93
78,2021,Nashik,Wheat,Rabi,Red,Canal,1.7,843.9,25.8,62.5,6.31,4931.54,10239.4,4283.75,13055.81,4256.78,3686.92,4666.13,28.0,40454.2,130657.68,90203.48
79,2023,Nashik,Wheat,Rabi,Loamy,Canal,5.7,734.1,28.4,58.7,6.82,16932.23,36489.91,16134.07,54089.18,16017.61,11202.94,13572.74,31.51,150865.94,427686.1,276820.16
80,2023,Sangli,Onion,Rabi,Black,Borewell,11.96,624.2,27.2,67.5,6.09,63499.48,94296.74,48983.55,115321.8,71504.41,31822.2,94572.67,19.92,425428.19,1883597.22,1458169.03
81,2019,Kolhapur,Soybean,Kharif,Loamy,Rainfed,11.86,1278.2,29.0,61.1,7.77,32066.77,45088.47,20451.16,53171.98,18139.66,19749.47,9819.73,46.85,188667.51,460035.39,271367.88
82,2022,Solapur,Soybean,Kharif,Black,Canal,2.01,614.3,27.5,57.0,6.3,6837.25,8525.38,3763.31,10415.42,2994.5,3736.51,2476.47,35.6,36272.36,88153.54,51881.18
83,2024,Nashik,Onion,Rabi,Alluvial,Canal,2.38,731.2,23.8,69.3,5.95,13958.18,16886.77,9411.49,20628.02,13386.53,7137.58,20681.21,29.24,81408.56,604750.67,523342.11
84,2022,Solapur,Tomato,Rabi,Alluvial,Drip,3.36,725.1,28.7,58.9,6.49,18012.93,26625.8,14201.28,39215.31,18266.32,9709.88,35599.69,25.34,126031.52,901965.69,775934.17
85,2024,Sangli,Soybean,Kharif,Loamy,Drip,3.6,625.3,25.6,60.8,6.08,12680.2,15221.7,7502.57,19174.39,7768.41,6544.31,4434.18,55.12,68891.58,244403.76,175512.18
86,2023,Sangli,Cotton,Kharif,Black,Canal,6.43,849.7,26.7,72.0,6.08,29852.92,40634.19,30622.21,67244.92,32421.4,21100.36,5486.13,78.56,221875.99,430965.81,209089.82
87,2022,Satara,Cotton,Kharif,Alluvial,Borewell,11.36,926.6,28.0,70.7,6.88,54372.44,73202.72,46749.41,106047.34,57048.83,30601.21,8082.09,87.27,368021.94,705302.3,337280.36
88,2024,Aurangabad,Sugarcane,Annual,Red,Borewell,7.99,713.3,24.5,61.4,6.9,62220.28,92593.66,32457.2,115158.85,68527.22,37516.95,299036.26,2.82,408474.17,844412.88,435938.71
89,2021,Nashik,Maize,Kharif,Alluvial,Rainfed,9.79,769.4,25.3,73.6,6.54,24029.94,48582.23,17608.93,59492.68,31190.91,15887.44,28943.07,20.6,196792.14,596331.05,399538.92
90,2020,Kolhapur,Soybean,Kharif,Red,Drip,4.79,1630.6,27.0,55.8,8.05,13742.38,14867.23,10069.01,19131.15,7389.32,8122.55,6378.47,57.56,73321.63,367146.41,293824.78
91,2020,Pune,Wheat,Rabi,Loamy,Rainfed,7.49,794.8,26.2,59.7,6.94,21025.64,40604.69,15910.35,47332.54,17305.76,15182.99,17478.7,24.46,157361.96,427614.02,270252.06
92,2024,Sangli,Sugarcane,Annual,Red,Borewell,6.7,721.0,23.9,53.1,7.26,50200.65,72449.91,24229.39,99320.27,47655.26,27344.25,233426.89,3.5,321199.74,816919.59,495719.85
93,2020,Sangli,Sugarcane,Annual,Red,Rainfed,7.02,773.7,26.8,56.8,6.74,45862.49,67619.84,24195.97,86031.15,49213.77,26701.93,238363.71,2.53,299625.15,602505.34,302880.19
94,2020,Sangli,Rice,Kharif,Red,Borewell,5.23,483.2,25.6,55.5,7.24,17623.53,32287.68,15644.54,38250.85,24332.42,10881.42,13453.21,31.62,139020.43,425449.96,286429.53
95,2025,Satara,Wheat,Rabi,Black,Borewell,8.97,891.0,24.9,73.0,7.67,30094.77,65289.89,21683.17,75909.69,27336.0,21185.45,21647.82,27.08,241498.98,586179.25,344680.27
96,2024,Aurangabad,Maize,Kharif,Alluvial,Borewell,5.15,864.5,24.9,67.1,7.68,14956.06,30259.36,11013.54,35886.36,14796.67,10754.12,17777.5,20.79,117666.11,369554.61,251888.5
97,2020,Aurangabad,Tomato,Rabi,Loamy,Borewell,1.28,611.6,27.4,71.3,6.77,6331.8,8349.09,4340.19,13413.72,7265.71,3405.28,12635.83,30.24,43105.79,382168.83,339063.05
98,2025,Satara,Cotton,Kharif,Alluvial,Borewell,1.19,991.4,24.2,66.8,6.15,5809.05,8397.39,4907.05,12801.34,6975.14,4272.43,936.09,83.53,43162.41,78190.47,35028.06
99,2022,Kolhapur,Soybean,Kharif,Black,Canal,11.16,1391.3,22.2,62.7,7.17,38077.63,43208.39,21921.41,52168.03,22156.26,19765.57,13102.8,49.48,197297.3,648362.08,451064.78
100,2021,Kolhapur,Soybean,Kharif,Alluvial,Rainfed,8.65,1363.5,22.3,45.5,7.0,22989.65,34865.86,19225.16,40522.86,17103.63,14235.33,8068.04,44.27,148942.49,357199.59,208257.11
101,2020,Ahmednagar,Maize,Kharif,Loamy,Drip,4.88,672.5,26.2,57.4,6.56,11979.81,23647.86,10707.05,30721.3,13439.81,8513.17,14839.99,21.44,99009.0,318122.18,219113.19
102,2022,Nashik,Soybean,Kharif,Loamy,Canal,10.41,687.2,25.6,74.5,7.03,30479.01,39363.92,19595.63,48328.65,19785.65,17803.35,12470.76,49.17,175356.22,613156.85,437800.63
103,2019,Sangli,Sugarcane,Annual,Red,Borewell,11.61,421.7,25.7,36.0,6.88,68555.88,102416.07,33340.21,128547.59,77983.66,38396.28,387482.9,2.94,449239.69,1137607.0,688367.31
104,2025,Pune,Tomato,Rabi,Loamy,Borewell,11.94,736.4,24.3,56.5,6.52,64339.17,104272.86,54602.98,149091.59,78058.44,42420.84,118057.68,22.55,492785.87,2662746.57,2169960.7
105,2021,Solapur,Wheat,Rabi,Loamy,Borewell,6.56,445.2,26.6,60.8,7.29,17284.79,40325.7,15332.39,49744.58,18207.36,12839.94,15739.08,26.68,153734.76,419940.04,266205.29
106,2020,Aurangabad,Soybean,Kharif,Alluvial,Borewell,6.04,619.9,26.8,48.7,6.81,18287.31,22912.68,9894.77,29738.81,10593.98,9447.02,7205.65,38.4,100874.57,276683.19,175808.62
107,2022,Pune,Sugarcane,Annual,Alluvial,Borewell,2.23,848.5,23.3,41.3,6.43,13549.19,21942.96,8233.55,33148.23,14976.66,7725.38,85225.32,3.03,99575.97,258301.18,158725.22
108,2020,Aurangabad,Maize,Kharif,Black,Borewell,10.17,917.3,24.8,68.7,6.88,27896.07,53257.3,18975.46,66112.34,26133.77,20977.08,40553.82,21.27,213352.01,862618.95,649266.95
109,2024,Nashik,Wheat,Rabi,Loamy,Drip,0.98,716.1,23.1,54.8,7.48,2872.61,6539.86,2885.73,7521.45,2780.69,2209.74,2459.68,26.69,24810.09,65660.21,40850.12
110,2019,Ahmednagar,Sugarcane,Annual,Alluvial,Borewell,9.29,719.6,23.5,49.2,7.6,56731.15,86306.66,31050.85,115545.79,70843.69,30841.08,367646.75,3.32,391319.22,1219496.37,828177.14
111,2022,Satara,Onion,Rabi,Alluvial,Canal,11.77,1090.1,27.6,68.7,7.06,68234.35,90217.71,43342.61,108148.08,53953.23,28754.53,92281.89,17.92,392650.5,1653931.75,1261281.25
112,2025,Kolhapur,Tomato,Rabi,Loamy,Canal,7.55,1425.7,24.4,64.8,7.19,38862.81,64439.04,35298.94,89278.47,50860.87,25909.3,78462.51,30.62,304649.44,2402536.0,2097886.56
113,2019,Aurangabad,Rice,Kharif,Black,Canal,9.43,565.7,27.0,64.9,6.72,28144.2,61792.03,27624.73,70897.45,31557.04,21566.62,26219.59,32.38,241582.07,849107.35,607525.28
114,2025,Nashik,Soybean,Kharif,Black,Rainfed,6.74,716.5,29.2,67.1,5.64,24515.56,33597.37,15335.33,36399.45,13126.41,12625.0,7475.9,43.98,135599.12,328808.37,193209.25
115,2025,Satara,Soybean,Kharif,Black,Drip,9.7,958.7,21.2,68.5,7.57,32195.49,45211.37,23379.67,46827.59,19088.81,17807.08,11657.12,44.18,184510.0,514969.88,330459.87
116,2022,Ahmednagar,Soybean,Kharif,Black,Drip,10.58,800.0,24.2,64.0,7.26,30070.99,38613.1,22476.07,49356.04,24591.98,17199.37,13241.95,47.1,182307.57,623743.71,441436.14
117,2025,Kolhapur,Sugarcane,Annual,Alluvial,Drip,7.17,1654.7,28.8,76.7,7.27,59260.84,77361.99,32198.25,119025.64,56114.03,34287.28,286075.55,3.75,378248.03,1071354.6,693106.58
118,2021,Ahmednagar,Rice,Kharif,Black,Rainfed,6.45,484.4,24.6,55.5,5.58,20937.43,48206.99,20678.82,48408.42,30678.6,16977.97,16098.77,33.56,185888.24,540290.57,354402.34
119,2022,Sangli,Cotton,Kharif,Red,Rainfed,1.86,746.2,26.4,72.8,5.54,9052.1,10654.63,6694.61,18197.68,9413.82,4656.33,1078.08,73.59,58669.17,79340.27,20671.1
120,2024,Nashik,Soybean,Kharif,Alluvial,Rainfed,11.32,638.7,20.8,66.6,6.38,32136.22,49825.05,26916.21,67552.72,22711.86,19798.4,10469.16,51.24,218940.45,536475.94,317535.49
121,2023,Solapur,Wheat,Rabi,Loamy,Canal,7.52,603.5,25.9,65.2,6.77,21835.95,47289.44,19176.6,53801.11,19724.39,15584.25,18564.95,34.55,177411.73,641430.26,464018.53
122,2019,Solapur,Rice,Kharif,Loamy,Borewell,9.43,557.6,25.5,40.2,7.23,27812.47,58740.17,27493.83,61884.12,34317.35,22064.23,29517.77,24.77,232312.17,731258.36,498946.19
123,2021,Sangli,Rice,Kharif,Loamy,Drip,2.78,473.4,31.8,62.7,6.91,8918.64,18226.01,8116.78,23877.3,11100.62,7209.09,6841.86,42.0,77448.44,287370.75,209922.3
124,2024,Ahmednagar,Tomato,Rabi,Alluvial,Borewell,1.82,657.2,26.4,63.6,6.48,9412.3,14022.8,6150.41,21919.97,11236.41,4700.92,17853.45,23.72,67442.81,423420.74,355977.92
125,2025,Sangli,Sugarcane,Annual,Alluvial,Canal,7.99,541.8,27.1,74.6,6.73,62690.99,82457.48,34036.42,114860.61,63264.09,38816.89,276090.28,3.1,396126.48,854882.42,458755.94
126,2021,Nashik,Soybean,Kharif,Loamy,Drip,6.47,725.5,23.5,59.4,5.76,19654.22,25067.53,15051.46,31049.66,11267.86,10217.63,8597.04,51.55,112308.37,443143.36,330834.99
127,2021,Sangli,Sugarcane,Annual,Black,Borewell,9.42,418.6,27.4,65.3,7.52,65710.52,91952.33,32352.75,111196.68,67369.24,38762.18,356861.51,3.39,407343.7,1208411.57,801067.87
128,2022,Ahmednagar,Onion,Rabi,Red,Canal,4.14,573.2,24.2,53.4,6.95,21989.63,30594.63,17258.24,39686.18,21910.28,10748.83,34198.19,25.34,142187.8,866456.34,724268.55
129,2021,Solapur,Cotton,Kharif,Alluvial,Rainfed,10.64,429.2,26.5,62.3,6.54,49364.45,61285.13,42528.44,106641.11,49895.3,34514.9,7322.87,73.4,344229.33,537507.61,193278.28
130,2020,Nashik,Soybean,Kharif,Loamy,Borewell,4.12,834.9,23.8,42.9,6.34,12038.58,14415.24,7023.62,19758.23,7639.31,6334.66,5808.46,41.62,67209.63,241725.27,174515.64
